text,href,absolute_url,domain
Bugga Ramalingeswara Swamy Temple,https://en.wikipedia.org/wiki/Bugga_Ramalingeswara_Swamy_Temple,https://en.wikipedia.org/wiki/Bugga_Ramalingeswara_Swamy_Temple,en.wikipedia.org
Tadipatri,https://en.wikipedia.org/wiki/Tadipatri,https://en.wikipedia.org/wiki/Tadipatri,en.wikipedia.org
Chintalarayaswami Temple,https://en.wikipedia.org/wiki/Chintalarayaswami_Temple,https://en.wikipedia.org/wiki/Chintalarayaswami_Temple,en.wikipedia.org
"Govindaraja Temple, Tirupati","https://en.wikipedia.org/wiki/Govindaraja_Temple,_Tirupati","https://en.wikipedia.org/wiki/Govindaraja_Temple,_Tirupati",en.wikipedia.org
"Jogulamba Temple, Alampur","https://en.wikipedia.org/wiki/Jogulamba_Temple,_Alampur","https://en.wikipedia.org/wiki/Jogulamba_Temple,_Alampur",en.wikipedia.org
"Kalyana Venkateswara Temple, Narayanavanam","https://en.wikipedia.org/wiki/Kalyana_Venkateswara_Temple,_Narayanavanam","https://en.wikipedia.org/wiki/Kalyana_Venkateswara_Temple,_Narayanavanam",en.wikipedia.org
"Kalyana Venkateswara Temple, Srinivasamangapuram","https://en.wikipedia.org/wiki/Kalyana_Venkateswara_Temple,_Srinivasamangapuram","https://en.wikipedia.org/wiki/Kalyana_Venkateswara_Temple,_Srinivasamangapuram",en.wikipedia.org
Kanaka Durga Temple,https://en.wikipedia.org/wiki/Kanaka_Durga_Temple,https://en.wikipedia.org/wiki/Kanaka_Durga_Temple,en.wikipedia.org
Vijayawada,https://en.wikipedia.org/wiki/Vijayawada,https://en.wikipedia.org/wiki/Vijayawada,en.wikipedia.org
Kapila Theertham,https://en.wikipedia.org/wiki/Kapila_Theertham,https://en.wikipedia.org/wiki/Kapila_Theertham,en.wikipedia.org
"Kodandarama Temple, Tirupati","https://en.wikipedia.org/wiki/Kodandarama_Temple,_Tirupati","https://en.wikipedia.org/wiki/Kodandarama_Temple,_Tirupati",en.wikipedia.org
"Konetirayala Temple, Keelapatla","https://en.wikipedia.org/wiki/Konetirayala_Temple,_Keelapatla","https://en.wikipedia.org/wiki/Konetirayala_Temple,_Keelapatla",en.wikipedia.org
Kotappakonda,https://en.wikipedia.org/wiki/Kotappakonda,https://en.wikipedia.org/wiki/Kotappakonda,en.wikipedia.org
Ksheerarama,https://en.wikipedia.org/wiki/Ksheerarama,https://en.wikipedia.org/wiki/Ksheerarama,en.wikipedia.org
Kulandeshwara Temple,https://en.wikipedia.org/wiki/Kulandeshwara_Temple,https://en.wikipedia.org/wiki/Kulandeshwara_Temple,en.wikipedia.org
Kumararama,https://en.wikipedia.org/wiki/Kumararama,https://en.wikipedia.org/wiki/Kumararama,en.wikipedia.org
"Kurmanathaswamy temple, Srikurmam","https://en.wikipedia.org/wiki/Kurmanathaswamy_temple,_Srikurmam","https://en.wikipedia.org/wiki/Kurmanathaswamy_temple,_Srikurmam",en.wikipedia.org
"Lakshmi Narasimha swamy temple, Penna Ahobilam","https://en.wikipedia.org/wiki/Lakshmi_Narasimha_swamy_temple,_Penna_Ahobilam","https://en.wikipedia.org/wiki/Lakshmi_Narasimha_swamy_temple,_Penna_Ahobilam",en.wikipedia.org
"Lakshmi Narasimha Temple, Antarvedi","https://en.wikipedia.org/wiki/Lakshmi_Narasimha_Temple,_Antarvedi","https://en.wikipedia.org/wiki/Lakshmi_Narasimha_Temple,_Antarvedi",en.wikipedia.org
"Lakshmi Narasimha Temple, Mangalagiri","https://en.wikipedia.org/wiki/Lakshmi_Narasimha_Temple,_Mangalagiri","https://en.wikipedia.org/wiki/Lakshmi_Narasimha_Temple,_Mangalagiri",en.wikipedia.org
"Mallikarjuna Temple, Srisailam","https://en.wikipedia.org/wiki/Mallikarjuna_Temple,_Srisailam","https://en.wikipedia.org/wiki/Mallikarjuna_Temple,_Srisailam",en.wikipedia.org
